feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,output
-4.771,-1.887,-0.961,2.539,-6.584,3.457,-7.462,2.013,-0.451,-1.893,-2.907,-0.212,-0.962,3.939,0.063,0.34,4.084,1.314,-2.18,3.105,1
1.705,2.147,-0.905,2.135,7.668,-4.27,-1.668,-1.74,-0.179,-0.041,3.362,3.43,1.321,-8.374,-3.606,1.261,0.624,-2.852,0.552,-1.352,1
2.955,-1.935,0.001,-1.803,-6.139,-9.123,-6.289,0.695,-0.851,6.125,2.421,0.221,-3.282,-7.013,-0.193,-0.379,1.865,-2.901,-1.712,-5.401,1
-1.489,-3.115,1.727,3.688,-8.519,2.109,-0.32,-7.049,-2.877,-1.434,-2.006,-0.936,0.013,3.544,0.292,0.747,4.889,4.34,0.151,12.851,0
2.353,2.575,2.047,3.694,3.087,3.309,-3.475,3.598,-2.241,1.609,-0.575,-1.861,0.26,0.718,-0.176,0.315,-0.747,2.256,-2.646,-3.548,1
-3.905,-1.389,1.943,4.97,-2.204,3.846,-5.726,1.701,2.446,-1.234,-1.14,-0.182,-1.499,3.025,0.546,2.436,-0.06,1.996,0.624,-2.299,1
-5.276,-2.728,3.617,-0.432,3.27,-0.287,1.757,0.132,-0.351,-0.344,0.19,-0.241,3.822,7.249,-1.639,-0.071,0.443,2.751,0.811,4.664,1
-0.053,-2.643,-3.47,0.004,2.854,7.483,0.11,-4.153,-2.526,-3.618,-0.222,3.387,0.098,3.848,-0.508,3.608,-0.989,-0.52,3.33,1.163,1
0.861,-2.113,0.603,3.71,-1.38,-2.487,-1.996,-3.966,4.346,0.061,1.875,0.964,0.456,-3.708,0.577,3.305,3.538,1.54,0.556,8.423,0
2.008,1.617,2.191,-2.355,6.836,-6.75,5.253,-2.789,4.53,0.245,3.8,0.957,-0.916,-2.999,1.133,2.418,0.905,0.288,-0.725,4.765,1
-3.142,-0.972,-2.722,0.877,1.856,0.154,-5.003,-1.08,0.151,-1.731,0.854,1.027,-0.154,3.4,-1.29,2.187,0.134,2.38,0.536,1.232,1
-9.687,-0.888,1.835,-2.089,3.913,-0.15,6.701,-1.972,2.785,-2.376,1.286,0.556,0.04,2.964,-0.531,4.391,-5.162,-0.243,-1.662,-5.449,1
-0.161,1.537,2.384,-3.331,6.975,1.368,6.937,0.106,-0.773,-2.538,0.612,-1.394,-0.195,6.705,0.57,1.311,0.152,1.219,-2.765,4.721,1
-2.006,2.281,-1.926,4.48,-1.232,-2.818,-10.971,2.105,0.28,-0.271,2.095,0.903,-2.887,-4.217,0.363,-0.726,0.002,2.519,-2.322,-6.519,1
1.208,-2.777,-2.357,-5.274,2.407,5.256,13.313,-1.429,-1.913,-5.304,-0.026,0.624,3.247,3.481,1.334,-3.095,-0.687,-0.646,-2.175,10.68,0
1.007,-1.149,-0.409,2.315,-2.812,-4.864,-1.417,-3.012,2.658,2.278,2.039,0.758,-1.798,-7.6,0.506,2.157,0.079,1.658,-2.707,1.786,0
0.338,-5.963,-0.891,4.278,-4.53,-10.121,-9.353,0.557,2.311,4.009,3.421,0.981,0.334,-8.759,-4.192,0.858,4.769,0.55,-4.133,7.606,0
